B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
OTU212	8	0	0	2	15	457	0	0	0	0	1	0	0	1	0	0	4	0	0	0	0	0	0	1	5	0	0	1	0	0	0	1	45	1	1	0	20	9	13	0	0	0	0	0	5
OTU60	129	5	307	32	46	59	38	8	1	33	93	6	11	63	28	36	6	53	1	9	6	3	15	138	225	57	16	62	16	8	9	17	74	16	17	17	14	33	15	1	9	4	266	167	151
OTU163	18	0	8	15	6	16	8	28	2	5	16	42	1	11	1	2	0	1	2	2	4	1	2	2	1	18	4	2	4	7	1	1	4	1	6	5	3	1	3	4	3	0	39	162	3
OTU262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU95	18	10	0	11	134	5	28	1	3	0	0	1	2	0	0	0	1	157	4	25	13	175	7	18	0	1	26	7	7	2	1	52	17	1	3	6	4	2	4	292	309	19	1	3	15
OTU86	310	41	9	10	29	124	4	3	16	2	175	6	9	275	69	9	24	6	11	6	21	3	0	8	10	44	504	31	5	11	22	18	9	11	3	4	4	19	41	20	21	16	46	6	10
OTU197	0	1	0	0	84	21	0	0	2	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	15	0	0	22	1	0	2	2	1	0	0	0	0	2	0	0	1	0	15	23	0
OTU35	1717	10	1	75	4197	655	2	21	209	9	20	12	2	49	1	0	9	26	2	0	0	0	0	6	138	21	25	28	5	37	2	923	11	7	9	4	39	39	76	0	0	0	112	2496	40
OTU220	9	0	0	25	9	14	1	0	12	0	2	0	1	10	2	0	7	3	7	14	0	0	2	3	0	0	5	1	0	0	62	4	2	11	5	1	3	5	7	1	0	0	13	0	2
OTU98	8	0	20	0	0	0	194	19	1	16	6	13	1	3	4	6	1	16	29	38	2	9178	607	7	56	15	10	218	13	11	7	13	6	621	32	204	1	18	30	8	7	2	17	43	1920
OTU45	278	197	44	38	133	53	151	21	42	95	74	65	53	105	37	41	37	8	71	22	95	5	18	29	60	13	37	90	53	47	71	92	34	15	27	16	104	50	50	42	65	46	127	1002	413
OTU263	3	9	2	2	2	0	2	1	0	2	11	2	1	2	0	0	0	0	3	1	2	1	0	0	2	1	2	0	3	3	1	4	4	0	1	1	0	1	0	0	2	1	5	17	16
OTU213	37	2	4	6	4	10	1	0	2	1	1	0	3	3	2	0	9	0	1	0	2	0	1	0	40	0	2	2	0	0	0	8	1	0	2	0	4	1	2	0	0	0	41	5	13
OTU178	2	0	1	0	1	1	16	0	4	17	0	4	12	4	2	2	10	0	0	0	0	0	0	0	0	0	12	1	0	2	1	0	5	0	0	0	2	3	2	0	1	0	3	8	25
OTU4	59	70	289	529	94	58	550	349	39	278	373	294	925	399	2494	525	2656	468	209	2500	137	81	429	170	145	1238	411	283	155	433	17325	334	172	491	3487	364	13349	1208	3083	2271	447	9552	1063	9529	4719
OTU96	6	7	11	22	30	300	81	14	28	72	23	27	11	22	35	0	11	7	1	3	6	0	2	8	15	37	23	9	22	12	12	11	20	11	23	7	9	18	23	21	5	25	231	40	27
OTU117	2	0	0	12	36	52	0	0	6	2	0	0	12	3	7	0	0	5	0	0	1	1	0	0	0	1	0	1	0	0	0	0	71	8	2	0	0	49	0	2	0	0	0	1	299
OTU232	0	0	0	116	0	0	0	0	0	4	0	0	0	0	1	0	3	0	0	0	1	1	1	35	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0
OTU166	0	0	0	0	0	0	2	0	0	14	9	0	0	0	0	0	0	27	0	0	2	0	0	0	1	0	0	0	0	0	0	6	1	3	89	0	0	20	1	0	0	0	0	15	0
OTU40	12	0	2	46	7	11	0	77	4	15	31	2351	0	3666	55	12	10	47	0	0	22	30	125	10	45	24	34	42	7	2	24	40	27	2	0	25	34	0	40	0	0	0	0	0	5
OTU32	11	0	12	6	7	8	27	0	409	13	54	4	470	93	80	495	62	213	91	55	7	655	63	18	4	128	25	162	184	32	60	176	137	1177	165	401	4271	0	211	36	146	50	42	379	103
OTU222	0	0	2	0	0	0	0	8	0	0	0	5	0	2	5	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU275	18	13	3	9	4	0	1	1	2	1	3	4	1	3	4	1	2	3	0	1	0	1	1	2	6	8	2	1	4	2	3	3	4	0	0	0	5	1	1	0	2	2	20	1	6
OTU104	1	8	11	9	0	1	1	6	4	20	7	6	9	8	43	57	14	50	6	11	16	12	5	6	2	7	5	6	8	49	130	76	1	14	18	25	20	1	22	29	10	21	9	3	21
OTU91	208	8	21	48	35	389	11	6	9	11	41	3	7	31	29	8	17	11	9	8	25	1	3	1	25	23	18	13	39	13	28	53	21	71	23	14	34	19	43	55	4	15	765	871	140
